('2017-04-13 13:39:25', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ')
('2017-04-13 13:39:06', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ')
('2017-04-13 13:39:04', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ')
('2017-04-13 13:38:44', 'Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ')
('2017-04-13 13:38:44', 'Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/OwM2vlJURy')
('2017-04-13 13:37:44', 'JPMorgan Beats Analystsâ€™ Estimates as Trading Revenue Rises | More Market News | $JPM |â€_ https://t.co/wEIV4jNNJN https://t.co/S7iL3nuHLL')
('2017-04-13 13:37:38', 'RT @DJWarrenYoung: Watch on #Periscope: @cnbc #openingbell $JPM https://t.co/qNyS9PD0hW')
('2017-04-13 13:37:10'," ""Banks are making some real money. $jpm $frc. Buffett lowers investment in $wfc for good reason. It's a dog. Looking at a gold rally. $gld"")"
('2017-04-13 13:36:23', 'Watch on #Periscope: @cnbc #openingbell $JPM https://t.co/qNyS9PD0hW')
('2017-04-13 13:35:05', 'Financials down despite beating estimates. $jpm $wfc $bac Should be an interesting day. https://t.co/2jpkT7QaL7')
('2017-04-13 13:34:24', '$JPM $DIS $ETHBTC Broadridge Completes Blockchain Proxy Voting Trial. https://t.co/SQYJc3FYM2 #Bitcoin #Finance #Partnership')
('2017-04-13 13:33:50', '$WFC $C and $JPM will lead a busy day of #earnings reports.')
('2017-04-13 13:32:46', 'JPMorgan $JPM profit tops analyst expectations on trading surge as #WallStreet opens lower #ThursdayThoughts #stocks https://t.co/s0RY1jzxnf')
('2017-04-13 13:31:54', 'RT @antillaview: Finra on the ball as always punishing whistleblower not $JPM: https://t.co/JMxHcDDz6a via @Ann_Marsh')
('2017-04-13 13:31:34', '5 Things You Must Know Before the Market Opens Thursday https://t.co/2WSVXMP9lS https://t.co/iYVhIWDKFt $JPM $C $WFC $BRK.A $UAL $AAPL')
('2017-04-13 13:30:34', '@zachffox Coincidentally $JPM released new official  portrait of Mr. Dimon..: https://t.co/jFqzCc2WV9')
('2017-04-13 13:30:33', 'Jamie Dimon is the best CEO on Wall Street hands down $JPM https://t.co/QVUMXMWDWJ')
('2017-04-13 13:30:28'," 'RT @_SeanDavid: Dimon says the bank\'s shopping centers and malls are very well secured and retail is volatile but that is ""normal"". $JPM')"
('2017-04-13 13:30:04'," 'RT @zachffox: Jamie Dimon shooting down all concerns. On used auto values dropping: ""It happens every 5 to 10 years so why would we be conâ€_')"
('2017-04-13 13:29:40', '$JPM Q1 2017 Earnings Call Audio is now available #earnings https://t.co/IPgweo9bh2')
('2017-04-13 13:29:02'," ""@CalConfidence Yes....I'm on the same page. Increased consumer loan reserves by $380 M. Ya Jamie real healthy $JPM"")"
('2017-04-13 13:28:55', '$JPM Investors digest bank earnings after Trump sends the dollar lower https://t.co/RXx1x2hT7n')
('2017-04-13 13:28:26', 'JPMorgan Chase &amp; Co. $JPM Cut to â€œBuyâ€ù at Vetr Inc. https://t.co/5XMWxd8ERj')
('2017-04-13 13:28:14', 'RT @Path_Trading: #PathChat AM  #Bank #Stocks Update (Apr-13-2017)\n@Bob_Iaccino @mgarnold $jpm $#WellsFargo #banks #technical \nhttps://t.coâ€_')
('2017-04-13 13:26:30', '#PathChat AM  #Bank #Stocks Update (Apr-13-2017)\n@Bob_Iaccino @mgarnold $jpm $#WellsFargo #banks #technical \nhttps://t.co/F4DnXFW7YD')
('2017-04-13 13:25:46', 'RT @OptionAlert: Largest open interest increases among single stock options for 4/13 include $BAC $JPM $X $EBAY and $WFC.')
('2017-04-13 13:24:29'," ""$JPM's Dimon on unfilled regulatory positions: the sooner they're filled the better but getting right people is important"")"
('2017-04-13 13:23:36', '$C $JPM $WFC (banks) reported earnings. Reaction so far a mixed bag. Futures down. Will be an interesting day.')
('2017-04-13 13:23:23', 'Just gonna sit and watch first 30 minutes see what happens. . Taking profit on $jpm')
('2017-04-13 13:23:18', 'JPMorgan Chase &amp; Co. $JPM Releases Quarterly Earnings Results Beats Estimates By $0.13 EPS https://t.co/XBGm05SolH')
('2017-04-13 13:23:05', '$JPM CFO Lake on retail: Roughly $20B in direct exposure to retailers; $11B to retail commercial real estate')
('2017-04-13 13:22:59', '$jpm with good support coming up. broke the 50 day on high volume but we have not seen much downside follow through. https://t.co/pgC2ZpRps8')
('2017-04-13 13:22:46', 'RT @OptionAlert: Largest open interest increases among single stock options for 4/13 include $BAC $JPM $X $EBAY and $WFC.')
('2017-04-13 13:22:26'," ""$JPM JPMorgan Beats Analysts' Estimates as Trading Revenue Rises https://t.co/FuzTthl0Vl via @markets"")"
('2017-04-13 13:22:15', 'JPMorgan Chase &amp; Co. $JPM Releases Quarterly  Earnings Results Beats Estimates By $0.13 EPS https://t.co/JIA4yXKEmZ')
('2017-04-13 13:21:39', 'A less than stellar reaction to EPS from $C $JPM $WFC &amp; $PNC which were already weighing down struggling financials.')
('2017-04-13 13:20:00'," 'Jamie Dimon shooting down all concerns. On used auto values dropping: ""It happens every 5 to 10 years so why would we be concerned?"" $JPM')"
('2017-04-13 13:19:59'," ""$JPM's Lake on Trump admin's support for restoring Glass-Steagall: â€œIt doesnâ€™t feel consistent w/the rest of the objectives of the adminâ€ù"")"
('2017-04-13 13:19:38'," ""$JPM #Dimon says #Trump pro-growth agenda 'ultimately' good for U.S."")"
('2017-04-13 13:18:12', '$JPM reported a Q1 earnings beat. EPS of1.65 topped expectations of 1.52 &amp; revenue of 25.586 billion bested estimates for 24.877 billion.')
('2017-04-13 13:17:09'," '""Dimon says the bank\'s shopping centers and malls are very well secured and retail is volatile but that is ""normal"". $JPM"" via - _SeanDavid')"
('2017-04-13 13:16:37', 'RT @talkingmoose_: Corps w/#h1b staff are #unAmerican.\n$INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $MCD $ORCL $WFC $GS $BAC $Hâ€_')
('2017-04-13 13:16:01', 'Largest open interest increases among single stock options for 4/13 include $BAC $JPM $X $EBAY and $WFC.')
('2017-04-13 13:15:46'," ""$JPM on Washington's talk around Glass-Steagall support: company can provide more value the way it is now"")"
('2017-04-13 13:14:46', 'RT @jpmorgan: $JPM reports 1Q17 net income of $6.4B; $1.65 EPS on revenue of $25.6B; ROTCE of 13% https://t.co/fd6YicK60w')
('2017-04-13 13:13:55'," 'Dimon says the bank\'s shopping centers and malls are very well secured and retail is volatile but that is ""normal"". $JPM')"
('2017-04-13 13:13:16', 'Good morning!! Markets are red across the world! Futures are down by - 5 \nUS major banks slightly turned red $JPM keeping gain in pre mkt')
('2017-04-13 13:13:05', '$JPM Dimon: Without excessive mortgage regulation home buying would be adding $300B to $500B per year to the economy')
('2017-04-13 13:12:47', '#JPMorganChase organ profit rises 16.8 percent. Read more: https://t.co/drox0Nirok $JPM')
('2017-04-13 13:12:10', '#JPMorganChase organ profit rises 16.8 pct. Read more: https://t.co/e7Vtgaz2XL $JPM')
('2017-04-13 13:11:53'," ""RT @FoxBusiness: JPMorgan's profit tops estimates on increased trading #Earnings $JPM  https://t.co/7i6Fe58enb"")"
('2017-04-13 13:11:48', 'Acciones activas jueves 13 de abril 2017  \n$AAPL $JPM $C $WFC $NADL $NVDA $AAOI $OCLR $DRYS $EYES $AMD $TWNK... https://t.co/si0qaLICSp')
('2017-04-13 13:11:47', '10 things you need to know before the opening bell https://t.co/aEIeCiBjZD via @themoneygame #earnings $SNAP #stocks #finance $WFC $JPM $C')
('2017-04-13 13:11:33', '#JPMorganChase organ 1Q Profit Rises 16.8%. Read more: https://t.co/vFaBsdbrn6 $JPM')
('2017-04-13 13:11:03', 'Early movers: $JPM $PNC $AAPL $DIS $GS $WFC $TSLA
('2017-04-13 13:10:56', '#JPMorganChase organ profit rises 16.8 percent. Read more: https://t.co/KNvjudQiFl $JPM')
('2017-04-13 13:10:39', 'RT @Selerity: #BREAKING: JP Morgan Chase $JPM Q1 Revenue $25.59B vs. $24.88B expected')
('2017-04-13 13:10:33', 'RT @jpmorgan: $JPM reports 1Q17 net income of $6.4B; $1.65 EPS on revenue of $25.6B; ROTCE of 13% https://t.co/fd6YicK60w')
('2017-04-13 13:09:32', 'RT @BatScientist: $JPM JPMorgan Chase earnings and sales easily beat expectations \n\nhttps://t.co/RKS0JEr5V1')
('2017-04-13 13:08:42'," ""RT @SaraWalker_IG: Don't forget at @IGcom you can trade US bank earnings before the market opens $JPM and $C beat  $WFC mixed results httpsâ€_"")"
('2017-04-13 13:08:27', '#JPMorganChase organ profit rises 16.8 % as bank made more loans. Read more: https://t.co/kitxZCTLDj $JPM')
('2017-04-13 13:08:26', 'RT @ExactOptionPick: FREE DAILY OPTION TRADE. Sign up for our DAILY FREE TRADE at https://t.co/78FVQDKYyw \n\n$LULU $UAL $WFM $NFLX $BABA $AMâ€_')
('2017-04-13 13:08:26', 'RT @ExactOptionPick: FREE DAILY OPTION TRADE. Sign up for our DAILY FREE TRADE at https://t.co/78FVQDKYyw \n\n$LULU $UAL $WFM $NFLX $BABA $AMâ€_')
('2017-04-13 13:08:16', 'FREE DAILY OPTION TRADE. Sign up for our DAILY FREE TRADE at https://t.co/78FVQDKYyw \n\n$LULU $UAL $WFM $NFLX $BABA $AMZN $GOOGL $C $BAC $JPM')
('2017-04-13 13:07:31', '#Mortgage fees at $WFC not as bad as $JPM. But still 23% decline a little worse than analysts expected https://t.co/qrIumSf6sn')
('2017-04-13 13:07:14'," ""$JPM CFO sees loan growth staying in 'mid to high single digits'"")"
('2017-04-13 13:07:12', 'Earnings Reported 04/13 BMO: $APOG $C $CBSH $INFY $JPM $PNC $WAFD $WFC $YGE Beat Expectations')
('2017-04-13 13:06:25'," ""$JPM CFO says card charge-off rates 'completely in-line with expectations'"")"
('2017-04-13 13:05:59'," '$JPM\'s Dimon: says to expect a ""sausage-making period"" with regards to policy / new admin; says to expect smooth sailing would be ""silly""')"
('2017-04-13 13:05:38', '$JPM Beats Profit Forecasts Helped by Interest Rates https://t.co/7UIJLxbmSJ')
('2017-04-13 13:05:01', 'Wondering about #sentiment indicator for $JPM? The Short Ratio is 2.36% https://t.co/51HgAZyc2G')
('2017-04-13 13:04:52', 'RT @Sarge986: Link to $JPM conference call .. https://t.co/CkOfauKpKv')
('2017-04-13 13:04:40', 'RT @ThePitBoss16: JPMorgan $JPM Beat on #Earnings and Revenue @Lizardjb3 @HeidsterTrades @TradersCom $DJIA $ES_F $SPX https://t.co/88v9BCtDâ€_')
('2017-04-13 13:03:32', '$jpm earnings great and price not moving much ..will be selling any positive move')
('2017-04-13 13:02:58', 'Financial Stocks On The Morning Trading Radar: $JPM $WFC. $C $PNC &amp; More...  https://t.co/WDLejabB1Z')
('2017-04-13 13:02:32', 'JPMorgan Crushes Q1 Earnings. Buy at Will! $JPM $WFC $C - https://t.co/gOMwHhtegV')
('2017-04-13 13:01:56'," 'Morning Preview: 4-13-17\n\n""Stock futures were down overnight..""\n\nReport: https://t.co/0ctk8vwWWv\n\n$JPM $PNC $WFCâ€_ https://t.co/Pay1sQMn5i')"
('2017-04-13 13:01:50', 'RT @ThePitBoss16: JPMorgan $JPM Beat on #Earnings and Revenue @Lizardjb3 @HeidsterTrades @TradersCom $DJIA $ES_F $SPX https://t.co/88v9BCtDâ€_')
('2017-04-13 13:01:46', 'Banks revenue increase represents consumer spending decrease; you get the picture $jpm $wfc $bac')
('2017-04-13 13:01:34', 'RT @StockNewsWires: $JPM $WFC $AAPL:\n\nDow Jones Industrial Average Futures Trade Lower After Trumpâ€™s â€_:\n\nhttps://t.co/wIUUIW1wbb')
('2017-04-13 13:01:08', 'JPMorgan Rises Slightly Despite Huge Earnings Beat https://t.co/T142XH4Wxa $JPM #stocks #trading https://t.co/uFKvplW7Ke')
('2017-04-13 13:00:57', 'JPMorgan $JPM Beat on #Earnings and Revenue @Lizardjb3 @HeidsterTrades @TradersCom $DJIA $ES_F $SPXâ€_ https://t.co/0nlCEQTCHE')
('2017-04-13 13:00:57', 'RT @vixcontango: Behind the beat facade of $JPM here is some trouble:\n52% increase in loan loss provisions from Q4\n-20% drop in consumer bâ€_')
('2017-04-13 13:00:05'," ""Today's Corporate #Earnings #stockmarket #daytrading #bolsa #NYSE\n$JPM $1.512\n$C $1.237\n$CBSH $0.649\n$FAST $0.460\n$FHN $0.228"")"
('2017-04-13 13:00:00', '#Volatility is a friend to this global #mutualfund manager: https://t.co/keesBIHn95 #investing #markets $WFC $JPM https://t.co/qna6RZvzA6')
('2017-04-13 12:59:55'," ""RT @SaraWalker_IG: Don't forget at @IGcom you can trade US bank earnings before the market opens $JPM and $C beat  $WFC mixed results httpsâ€_"")"
('2017-04-13 12:59:40', 'RT @TrevorPalumbo: $JPM eps better than expected but still worse than Q4 of 2016. Should we be excited?  #stocks #investing #tradeideas #tâ€_')
('2017-04-13 12:59:30'," ""$GS banks look way weak even with decent earnings. $JPM looks like it's going red."")"
('2017-04-13 12:59:19', 'JPMorgan Crushes Q1 Earnings. Buy at Will! $JPM $WFC $C - https://t.co/B5FZyfrHQd')
('2017-04-13 12:58:13', '$JPM:\n\nJPMorgan Rises Slightly Despite Huge Earnings Beat:\n\nhttps://t.co/DzfTggA8cz')
('2017-04-13 12:58:13', '$JPM $WFC $AAPL:\n\nDow Jones Industrial Average Futures Trade Lower After Trumpâ€™s â€_:\n\nhttps://t.co/wIUUIW1wbb')
('2017-04-13 12:57:24', 'RT @vixcontango: But economically sensitive consumer banking was notably weaker - mortgage and car lending falling apart. $JPM https://t.coâ€_')
('2017-04-13 12:57:13', 'RT @JAYELANG: Record 1Q #investmentbanking fees at $JPM: https://t.co/OMJAfQOgiy')
('2017-04-13 12:57:05', 'Morning Call For Thursday April 13 $VIX  $TNX  $ABT  $EGN  $JPM  $SIX  $WFC  $ULTI  $AAOI https://t.co/0p8zb8kfx2')
('2017-04-13 12:57:02', 'Jamie a little fiesty today. $jpm')
('2017-04-13 12:56:48'," 'Dimon on the $JPM earnings call on a question about credit exposure to retailers and retail CRE: \n\n""You\'re way out of line.""  _Ÿ˜‚')"
('2017-04-13 12:56:24'," ""Don't forget at @IGcom you can trade US bank earnings before the market opens $JPM and $C beat  $WFC mixed results https://t.co/b6lL8sI4rg"")"
('2017-04-13 12:56:24'," ""Don't forget at @IGcom you can trade US bank earnings before the market opens $JPM and $C beat  $WFC mixed results https://t.co/Xtx8DKC6EF"")"
('2017-04-13 12:56:19', 'RT @CCieszynski_CMC: #Trump talk ans strong US bank #earnings could move #markets today https://t.co/Z8700YTGsw #trading $JPM #C #WFC $PNCâ€_')
('2017-04-13 12:55:54', 'Bank earnings $C $JPM $WFC $PNC .. $STAF financial results. $CLSN released preclinical results at 8:30. Cheapy but moving. #stocks')
('2017-04-13 12:55:28', 'RT @CCieszynski_CMC: #Trump talk ans strong US bank #earnings could move #markets today https://t.co/Z8700YTGsw #trading $JPM #C #WFC $PNCâ€_')
('2017-04-13 12:55:21', '#Trump talk ans strong US bank #earnings could move #markets today https://t.co/Z8700YTGsw #trading $JPM #C #WFC $PNC #forex')
('2017-04-13 12:54:46'," ""$JPM's Lake likens retail to discussion around brick &amp; mortar banking biz; consumer interaction is changing but retail not going away"")"
('2017-04-13 12:54:39'," ""RT @FoxBusiness: JPMorgan's profit tops estimates on increased trading #Earnings $JPM  https://t.co/7i6Fe58enb"")"
('2017-04-13 12:53:35'," '$JPM CEO Dimon to analyst concerns about retail: ""You\'re way out of line. ... It will be like oil and gas for us. It won\'t be a big deal.""')"
('2017-04-13 12:53:16'," '$JPM CFO says its exposure to malls is ""pretty modest.""')"
('2017-04-13 12:53:07', '$UAL $JPM $WFC $C:\n\nWhatâ€™s On Our Radar: April 13 2017:\n\nhttps://t.co/FsAkNpYDHY')
('2017-04-13 12:51:46', '$JPM #SharesDownPerc.: Shares of J.P. Morgan fell 0.4% #newssentiment https://t.co/TdgORB6TTh')
('2017-04-13 12:51:45', 'RT @TradewiseApp: J.P. Morganâ€™s Earnings Climb Boosted by Trading https://t.co/j4GtOWhaA8 $JPM')
('2017-04-13 12:51:45', 'J.P. Morganâ€™s Earnings Climb Boosted by Trading https://t.co/j4GtOWhaA8 $JPM')
('2017-04-13 12:51:23', 'RT @jpmorgan: $JPM reports 1Q17 net income of $6.4B; $1.65 EPS on revenue of $25.6B; ROTCE of 13% https://t.co/fd6YicK60w')
('2017-04-13 12:51:08', 'Investors Target International Concerns Preceding Long Weekend - https://t.co/2z3M7Nr80d\n$SPY $JPM $C $WFC #stocks #earnings #StockMarket')
('2017-04-13 12:50:37', 'JPMorgan Chase &amp; Co. announces earnings. $1.65 EPS. Beats estimates. $25.59b revenue. https://t.co/tEweJoomR5 $JPM #JPM')
('2017-04-13 12:50:33', '$JPM ..please slide to 84.50 please. Thank you guys! #stocks #tradeideas #investing')
('2017-04-13 12:49:58', 'RT @jpmorgan: $JPM reports 1Q17 net income of $6.4B; $1.65 EPS on revenue of $25.6B; ROTCE of 13% https://t.co/fd6YicK60w')
('2017-04-13 12:49:30', 'RT @Hotpage_News: EARLY MOVERS: $JPM $PNC $AAPL $DIS $GS $WFC $TSLA $SEAS $PIR $TWNK $ADBE $HBI $SIX - CNBC  https://t.co/FjAWdjTbPJ')
('2017-04-13 12:49:13', '$JPM: JPMorgan Chase beats by $0.12 beats on revs; Average core loans up 9%')
('2017-04-13 12:48:34', '$JPM: JPMorgan Chase beats by $0.12 beats on revs; Average core loans up 9% https://t.co/11YLRlLZ46')
('2017-04-13 12:48:09', '$JPM and $C both managed to beat their earnings estimate but a lot of growth came from a bloated stock market. More on this later.')
('2017-04-13 12:48:04', '#JPMorganChase organ tops forecasts on record investment bank revenues. Read more: https://t.co/ivitVXy08Q $JPM')
('2017-04-13 12:47:56', 'RT @antillaview: Finra on the ball as always punishing whistleblower not $JPM: https://t.co/JMxHcDDz6a via @Ann_Marsh')
('2017-04-13 12:47:34', '$JPM: JPMorgan Chase: Outlooks from Slide Presentation https://t.co/eR9qfPfMRH')
('2017-04-13 12:46:51'," ""Citigroup's profits rise helped by trading business $JPM https://t.co/RTU2bzhUUA"")"
('2017-04-13 12:45:20'," ""$JPM says 'no feedback for now' on CCAR submission"")"
('2017-04-13 12:44:52', 'Finra on the ball as always punishing whistleblower not $JPM: https://t.co/JMxHcDDz6a via @Ann_Marsh')
('2017-04-13 12:43:35', 'RT @LiveSquawk: $JPM JPMorgan Q1 17 Earnings Results:\n-EPS: $1.65 (Estimate $1.62)\n-Revenue: $25.6B (Estimate $24.57B)')
('2017-04-13 12:43:24'," ""It's a banking kind of day! $C $WFC $JPM $OZRK"")"
('2017-04-13 12:40:26'," ""RT @FoxBusiness: JPMorgan's profit tops estimates on increased trading #Earnings $JPM  https://t.co/7i6Fe58enb"")"
('2017-04-13 12:39:18', 'JPMorgan Citigroup Beat Q1 Views; Wells Fargo Revenue Misses - $JPM $C $WFC https://t.co/dtC70BdzNP')
('2017-04-13 12:38:39', 'JPMorgan Chase Rises Wells Fargo Falls On Q1 Earnings $JPM $WFC https://t.co/wJ35A6NyUk')
('2017-04-13 12:37:43'," ""#XRIM #MONEY FoxBusiness\n\nJPMorgan's profit tops estimates on increased trading #Earnings $JPM https://t.co/423f0rWpak\n\nâ€” FOX Business (Foâ€_"")"
('2017-04-13 12:37:06', '$JPM #SharesPremarketUpPerc.: Shares of J.P. Morgan rose 0.8% premarket #newssentiment https://t.co/TdgORB6TTh')
('2017-04-13 12:37:00'," ""JPMorgan's profit tops estimates on increased trading #Earnings $JPM  https://t.co/7i6Fe58enb"")"
('2017-04-13 12:36:59', '$JPM: NII reflected higher rates / growth')
('2017-04-13 12:36:46', 'JPMorgan reports $160M write-down of student loans as bank explores alternatives for the portfolio $JPM')
('2017-04-13 12:36:41', 'RT @maxdaytrades: Keep an eye on bank reports this morning $JPM $C $WFC #stocks #StockMarket #news #DayTrading #StockTrading #finance')
('2017-04-13 12:36:27', '$JPM CFO on earnings call: Overall credit environment remains â€œbenign.â€ù')
('2017-04-13 12:35:59', 'My Thursday 4/13 #watchlist: UP $AAOI $NTNX $C $JPM DN $WFC #stocks #StockMarket #premarket #Preparation #StockTrading #DayTrading #finance')
('2017-04-13 12:34:42', 'RT @msttrader: Market reacts to bank earnings from $JPM $WFC $C https://t.co/rXxC4rXjVR')
('2017-04-13 12:33:54', '$JPM #ProfitForPeriodStatedUpPerc.: posting a 17% rise in first-quarter profit #newssentiment https://t.co/TdgORB6TTh')
('2017-04-13 12:33:10', '$JPM (+0.4% pre) profit jumps 17% on trading surge underwriting https://t.co/yJsE8bjM80 via @Reuters #earnings #stocks #trading')
